Titles,Network,Award Year,Nominations,Actor Nominations,Total Nominations
A Black Lady Sketch Show,,2020,0,1,1
Atlanta,FX Networks,2018,5,4,9
Atlanta,FX Networks,2017,4,2,6
Barry,HBO,2019,4,5,9
Barry,HBO,2018,4,2,6
Baskets,,2018,0,1,1
Baskets,,2017,0,4,4
Bette Midler,FX Networks,2020,1,0,1
Better Call Saul,AMC,2020,1,1,2
Better Call Saul,AMC,2019,1,3,4
Better Call Saul,AMC,2017,1,1,2
Better Things,,2018,0,1,1
Better Things,,2017,0,2,2
Big Little Lies,,2020,0,2,2
Black Mirror,,2020,0,1,1
Black Monday,,2020,0,1,1
Black Monday,,2019,0,1,1
Bodyguard,Netflix,2019,1,0,1
Brooklyn Nine-Nine,,2020,0,1,1
Brooklyn Nine-Nine,,2018,0,1,1
Catastrophe,,2017,0,1,1
Curb Your Enthusiasm,HBO,2020,1,0,1
Curb Your Enthusiasm,HBO,2018,1,3,4
Dead To Me,Netflix,2020,1,2,3
Dead To Me,Netflix,2019,0,1,1
Euphoria,,2020,0,1,1
Fleabag,Prime Video,2019,3,5,8
GLOW,Netflix,2020,0,1,1
GLOW,Netflix,2019,0,1,1
GLOW,Netflix,2018,2,1,3
Game Of Thrones,HBO,2019,1,9,10
Game Of Thrones,HBO,2018,1,3,4
Girls,,2017,0,5,5
Grace And Frankie,,2018,0,1,1
Grace And Frankie,,2017,0,4,4
Homeland,,2018,0,1,1
House of Cards,Netflix,2019,0,2,2
House of Cards,Netflix,2017,1,2,3
How To Get Away With Murder,,2020,0,1,1
How To Get Away With Murder,,2019,0,1,1
How To Get Away With Murder,,2017,0,1,1
Insecure,HBO,2020,1,2,3
Insecure,HBO,2018,0,1,1
Killing Eve,BBC America,2020,1,3,4
Killing Eve,BBC America,2019,1,3,4
Killing Eve,BBC America,2018,0,1,1
Master Of None,Netflix,2017,2,3,5
Modern Family,ABC,2020,1,1,2
Modern Family,ABC,2017,1,2,3
Modern Love,,2020,0,1,1
Mom,,2018,0,1,1
Mom,,2017,0,2,2
Orange Is The New Black,,2020,0,1,1
Orphan Black,,2018,0,1,1
Ozark,Netflix,2020,1,3,4
Ozark,Netflix,2019,1,3,4
Ozark,Netflix,2018,0,1,1
PEN15,Hulu,2019,1,0,1
Pose,FX Networks,2020,0,1,1
Pose,FX Networks,2019,1,1,2
Ramy,Hulu,2020,1,2,3
Ray Donovan,,2017,0,1,1
Roseanne,,2018,0,1,1
Russian Doll,Netflix,2019,3,1,4
Saturday Night Live,,2020,0,8,8
Saturday Night Live,,2019,0,7,7
Saturday Night Live,,2018,0,9,9
Saturday Night Live,,2017,0,16,16
Schitt's Creek,Pop TV,2020,4,4,8
Schitt's Creek,Pop TV,2019,1,2,3
Shameless,,2018,0,1,1
Shameless,,2017,0,2,2
Silicon Valley,HBO,2018,3,0,3
Silicon Valley,HBO,2017,4,0,4
Stranger Things,Netflix,2020,1,0,1
Stranger Things,Netflix,2018,1,2,3
Stranger Things,Netflix,2017,1,0,1
Succession,HBO,2020,1,9,10
Succession,HBO,2019,1,0,1
The Americans,FX Networks,2018,1,2,3
The Americans,FX Networks,2017,0,2,2
The Big Bang Theory,CBS,2019,1,0,1
The Big Bang Theory,CBS,2018,1,0,1
The Crown,Netflix,2020,1,2,3
The Crown,Netflix,2018,1,3,4
The Crown,Netflix,2017,1,1,2
The Good Place,NBC,2020,2,4,6
The Good Place,NBC,2019,2,2,4
The Good Place,NBC,2018,0,2,2
The Great,Hulu,2020,2,0,2
The Handmaid's Tale,Hulu,2020,1,3,4
The Handmaid's Tale,Hulu,2018,1,5,6
The Handmaid's Tale,Hulu,2017,1,1,2
The Kominsky Method,Netflix,2020,1,2,3
The Kominsky Method,Netflix,2019,0,2,2
The Mandalorian,Disney+,2020,1,1,2
The Marvelous Mrs. Maisel,Prime Video,2020,3,7,10
The Marvelous Mrs. Maisel,Prime Video,2019,3,7,10
The Marvelous Mrs. Maisel,Prime Video,2018,3,4,7
The Morning Show,,2020,0,5,5
The Outsider,,2020,0,1,1
The Politician,,2020,0,1,1
This Is Us,NBC,2020,0,3,3
This Is Us,NBC,2019,1,4,5
This Is Us,NBC,2018,1,2,3
This Is Us,NBC,2017,1,2,3
Transparent,,2017,0,6,6
Unbreakable Kimmy Schmidt,Netflix,2018,1,1,2
Unbreakable Kimmy Schmidt,Netflix,2017,1,4,5
Veep,HBO,2019,2,4,6
Veep,HBO,2017,6,10,16
Westworld,HBO,2020,0,2,2
Westworld,HBO,2018,1,4,5
Westworld,HBO,2017,1,2,3
What We Do In The Shadows,FX Networks,2020,3,0,3
Will & Grace,NBC,2020,1,0,1
Will & Grace,NBC,2018,0,2,2
black-ish,ABC,2020,0,2,2
black-ish,ABC,2019,0,1,1
black-ish,ABC,2018,1,3,4
black-ish,ABC,2017,1,5,6
