,tv_show,network,views_mil,season,_18_49_demo,genre
0,Game of Thrones ,hbo,11.992,s8,5.17,"Action, Adventure, Drama"
1,Big Little Lies,hbo,1.643,s2,0.65,"Crime, Drama, Mystery"
2,Barry ,hbo,1.597,s2,0.43,"Action, Comedy, Crime"
3,True Detective,hbo,1.247,s3,0.36,"Crime, Drama, Mystery"
4,Perry Mason ,hbo,0.937,s1,0.25,"Crime, Drama"
5,The Outsider,hbo,0.914,s1,0.25,"Crime, Drama, Fantasy"
6,Westworld,hbo,0.812,s3,0.23,"Drama, Mystery, Sci-Fi"
7,Watchmen ,hbo,0.759,s1,0.2,"Action, Drama, Mystery"
8,Lovecraft Country,hbo,0.749,s1,0.19,"Drama, Fantasy, Horror"
9,Curb Your Enthusiasm ,hbo,0.663,s1,0.19,Comedy
10,Succession ,hbo,0.597,s5,0.18,Drama
11,Euphoria ,hbo,0.56,s4,0.18,Drama
12,Righteous Gemstones,hbo,0.559,s6,0.18,"Comedy, Drama"
13,Ballers ,hbo,0.493,s10,0.17,"Comedy, Drama, Sport"
14,His Dark Materials ,hbo,0.423,s2,0.14,"Adventure, Drama, Family"
15,Insecure ,hbo,0.421,s1,0.11,"Comedy, Romance"
16,Silicon Valley ,hbo,0.417,s1,0.1,Comedy
17,Avenue 5 ,hbo,0.4,s1,0.1,"Comedy, Sci-Fi"
18,Gentleman Jack ,hbo,0.392,s1,0.09,"Biography, Drama, History"
19,I Know This Much True ,hbo,0.362,s3,0.07,Drama
20,Divorce ,hbo,0.312,s3,0.07,"Comedy, Drama"
21,The Deuce ,hbo,0.286,s1,0.07,Drama
22,Mrs. Fletcher ,hbo,0.256,s1,0.07,"Comedy, Drama"
23,The New Pope,hbo,0.235,s1,0.06,Drama
24,Run ,hbo,0.232,s4,0.05,"Comedy, Romance, Thriller"
25,High Maintenance,hbo,0.224,s1,0.05,"Comedy, Drama"
26,The Third Day,hbo,0.178,s1,0.04,"Drama, Mystery, Thriller"
27,Years and Years ,hbo,0.205,s1,0.04,"Drama, Sci-Fi"
28,Room 104 ,hbo,0.2,s1,0.04,"Comedy, Drama, Fantasy"
29,Mosaic,hbo,0.197,s3,0.04,"Crime, Drama, Mystery"
30,Tracey Ullman's Show,hbo,0.192,s1,0.04,Comedy
31,Sally4Ever,hbo,0.133,s4,0.03,"Comedy, Romance"
32,I May Destroy You,hbo,0.128,s1,0.03,Drama
33,We Are Who We Are,hbo,0.09,s1,0.01,Drama
34,True Blood ,hbo,3.48,s7,1.84,"Drama, Fantasy, Mystery"
35,Boardwalk Empire ,hbo,2.014,s5,0.81,"Crime, Drama, History"
36,The Night Of ,hbo,1.411,s1,0.54,"Crime, Drama, Mystery"
37,The Newsroom ,hbo,1.339,s3,0.52,Drama
38,Sharp Objects ,hbo,1.239,s1,0.46,"Crime, Drama, Mystery"
