,title,type,days_in_top10,viewership_score
307,Avatar the Last Airbender,TV Show,39.0,196.0
19,Outer Banks,TV Show,37.0,259.0
886,The Umbrella Academy,TV Show,31.0,235.0
1146,Cobra Kai,TV Show,31.0,216.0
477,Jeffrey Epstein: Filthy Rich,TV Show,30.0,165.0
337,365 Dni,Movie,27.0,206.0
16,Dead to Me,TV Show,25.0,179.0
777,Shameless,TV Show,24.0,146.0
227,Space Force,TV Show,24.0,174.0
396,Floor is Lava,TV Show,22.0,171.0
515,Unsolved Mysteries,TV Show,22.0,158.0
49,Riverdale,TV Show,22.0,111.0
267,13 Reasons Why,TV Show,21.0,152.0
1096,Away,TV Show,20.0,156.0
667,The Last Dance,TV Show,20.0,127.0
77,Sweet Magnolias,TV Show,20.0,144.0
1145,Cocomelon,TV Show,19.0,43.0
957,Lucifer,TV Show,19.0,128.0
565,Down to Earth with Zac Efron,TV Show,18.0,104.0
476,Warrior Nun,TV Show,17.0,111.0
617,Cursed,TV Show,17.0,119.0
524,Doctor Seuss' The Lorax,Movie,17.0,92.0
317,The Order,TV Show,15.0,107.0
855,Project Power,Movie,15.0,127.0
555,The Old Guard,Movie,14.0,108.0
847,The Legend of Korra,TV Show,14.0,92.0
457,The Baby-Sitters Club,TV Show,14.0,73.0
586,Oscuro Deseo,TV Show,14.0,61.0
817,Mr. Peabody & Sherman,Movie,13.0,59.0
1086,The Social Dilemma,Movie,13.0,53.0
18,The Flash,TV Show,13.0,38.0
294,Feel the Beat,Movie,12.0,58.0
1136,The Smurfs 2,Movie,12.0,74.0
157,Fuller House,TV Show,12.0,64.0
1138,Ratched,TV Show,11.0,108.0
1143,Jurassic World: Camp Cretac…,TV Show,11.0,84.0
295,The Nut Job,Movie,11.0,58.0
636,The Kissing Booth 2,Movie,11.0,88.0
746,The Seven Deadly Sins,TV Show,11.0,58.0
627,Animal Crackers,Movie,11.0,60.0
776,The Lost Husband,Movie,11.0,80.0
427,Desperados,Movie,11.0,48.0
1135,Bastille Day,Movie,11.0,66.0
736,Worldâs Most Wanted,TV Show,10.0,64.0
7,Just Go With It,Movie,10.0,38.0
38,Uncut Gems,Movie,10.0,69.0
965,"Sister, Sister",TV Show,10.0,52.0
967,The Smurfs,Movie,10.0,66.0
386,The Town,Movie,9.0,32.0
867,Hoops,TV Show,9.0,43.0
955,Due Date,Movie,9.0,42.0
1036,Get Organized with The Home…,TV Show,9.0,49.0
1057,Pets United,Movie,9.0,53.0
147,Queer Eye,TV Show,9.0,38.0
326,Eurovision Song Contest: Th…,Movie,8.0,58.0
115,Cloudy with a Chance of Mea…,Movie,8.0,27.0
527,Fatal Affair,Movie,8.0,61.0
964,"Love, Guaranteed",Movie,8.0,59.0
297,Love,Movie,8.0,23.0
836,Drunk Parents,Movie,8.0,43.0
584,Fear City: New York vs The …,TV Show,8.0,62.0
376,Patriots Day,Movie,8.0,52.0
786,Teenage Bounty Hunters,TV Show,8.0,43.0
8,History 101,TV Show,8.0,28.0
495,The Business of Drugs,TV Show,7.0,44.0
256,Balle perdue,Movie,7.0,33.0
885,Million Dollar Beach House,TV Show,7.0,42.0
707,Dennis the Menace,Movie,7.0,19.0
1087,The Devil All the Time,Movie,7.0,45.0
184,Da 5 Bloods,Movie,7.0,55.0
185,F is for Family,TV Show,7.0,31.0
1147,The Blacklist,TV Show,7.0,22.0
426,Only,Movie,7.0,23.0
827,High Score,TV Show,7.0,27.0
176,PokÃ©mon Journeys: The Series,TV Show,6.0,23.0
995,#salaissda,Movie,6.0,34.0
585,The Kissing Booth,TV Show,6.0,21.0
646,Sugar Rush,TV Show,6.0,24.0
76,The Help,Movie,6.0,21.0
187,Alexa & Katie,TV Show,6.0,34.0
